Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
Strike,Ord.,Vol.,Precio,Precio,Vol.,Ord.,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
"12.400,00",-,-,-,-,-,-,85200,1,85200,85200,85200,99600
"12.600,00",-,-,-,-,-,-,60900,1,60900,60900,60900,80700
"12.850,00",-,-,-,-,-,-,40700,1,40700,40700,40700,58200
"12.900,00",-,-,-,-,-,-,35000,2,34300,35000,34300,53900
"13.100,00",-,-,-,-,-,-,20000,9,20200,24600,20000,37800
"13.200,00",-,-,-,-,-,-,18000,6,19000,19000,15000,30500
"13.250,00",-,-,-,-,-,-,12000,3,11000,12000,11000,27100
"13.300,00",-,-,-,-,-,-,10000,5,10000,10000,9000,23900
"13.350,00",-,-,-,-,-,-,8600,9,10000,10000,7800,20900
"13.400,00",-,-,-,-,-,-,7600,4,15000,15000,7600,18200
"13.450,00",-,-,-,-,-,-,4600,3,4600,4600,4600,15700
"13.500,00",-,-,-,-,-,-,4000,5,7500,7500,4000,13500
"13.600,00",-,-,-,-,-,-,1900,33,4000,4000,1900,9700
"13.650,00",-,-,-,-,-,-,2500,2,1700,2500,1700,8100
"13.700,00",-,-,-,-,-,-,1200,21,1500,1500,1200,6700
"13.750,00",-,-,-,-,-,-,1200,7,1700,1700,1200,5500
Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,112,,,,
